"index","type","tag","author","title","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","url"
1,"techreport","tbep0119","M. Burke and G. Raulerson","2018 Tampa Bay Water Quality Assessment","2019",NA,"#01-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_01_19_2018_Decision_Matrix_Update_FINAL.pdf"
2,"techreport","tbep0219","G. Raulerson and A. Hershorin and D. Karlen and T. MacDonald and and A. Tyler-Jedlund","Tampa Bay Dredged Hole Assessment and Management Recommendations: 2019 Synthesis Report","2019",NA,"#02-19",NA,NA,NA,NA,"Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_02_19_Dredged_Hole_Synthesis.pdf"
3,"article","tbep0319","L. Sheehan and E. Sherwood and R. Moyer and K. Radabaugh and S. Simpson","Blue Carbon: An Additional Driver for Restoring and Preserving Ecological Services of Coastal Wetlands in Tampa Bay(Florida, USA)","2019",NA,NA,"Wetlands",NA,NA,NA,NA,NA,"10.1007/s13157-019-01137-y","#03-19","https://doi.org/10.1007/s13157-019-01137-y"
4,"techreport","tbep0419","B. Barber","Facilitation of seagrass productivity in Tampa Bay using the indigenous, suspension feeding bivalve, Mercenaria campechiensis","2019",NA,"#04-19",NA,NA,NA,NA,"Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_04_19_TBERF_Mercenaria_GSI.pdf"
5,"techreport","tbep0519","M. Burke and L. Carnahan and K. Hammer-Levy and G. Mitchum","Recommended Projections of Sea Level Rise for the Tampa Bay Region (Update)","2019",NA,"#05-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_05_19_CSAP_SLR_Recommendation.pdf"
6,"techreport","tbep0619","S.D. Meyers and M.E. Luther","Ship Wakes in Tampa Bay","2019",NA,"#06-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_06_19_Ship_Wakes.pdf"
7,"article","tbep0709","M. Beck and E. Sherwood and J. Henkel and K. Dorans and K. Ireland and P. Varela","Assessment of the Cumulative Effects of Restoration Activities on Water Quality in Tampa Bay, Florida","2019",42,"7","Estuaries & Coasts","1774-1791",NA,NA,NA,NA,"10.1007/s12237-019-00619-w","#07-19","https://doi.org/10.1007/s12237-019-00619-w"
8,"techreport","tbep0819","CSA Ocean Sciences, Inc.","Tampa Bay Hard Bottom Mapping Project","2019",NA,"#08-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_08-19_Hard_Bottom_Habitats.pdf"
9,"techreport","tbep0919","C.B. Lopez and S. Shankar and S.M. Garcia and S.P. Geiger and K.A. Hubbard and and L.J. Flewelling","Effects of the Toxic Dinoflagellate Pyrodinium bahamense on Feeding Efficiency and Toxicity in Bivalve Grazers","2019",NA,"#09-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_09-19_Pyrodinium_Grazing.pdf"
10,"incollection","tbep1019","G. Raulerson and E.T. Sherwood and M. Burke and H.S. Greening and A.J. Janicki","The Tampa Bay Story: Fostering collaborative partnerships to restore an urban estuary","2019",NA,NA,NA,NA,NA,NA,"Proceedings of the Sixth Interagency Conference on Research in the Watersheds, July 23-26, 2018","Shepherdstown, West Virginia",NA,"#10-19","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_10-19_NMC_Partnerships.pdf"
11,"techreport","tbep1119","E.T. Sherwood and M. Burke","2018 Tampa Bay Estuary Nutrient Management Compliance Assessment","2019",NA,"#11-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_11-19_TBNMC_2018_RA_Annual_Assessment.pdf"
12,"techreport","tbep1219","M.N. Schrandt and T.C. MacDonald","2018 Multimetric Index of Nekton Health for Tampa Bay, FL","2019",NA,"#12-19",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_12-19_2018_Nekton_Index.pdf"
13,"techreport","tbep0118","E. Sherwood and G. Raulerson","2017 Tampa Bay Water Quality Assessment","2018",NA,"#01-18",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_01_18_2017_Decision_Matrix_Results_Update.pdf"
14,"techreport","tbep0218","A. Tyler-Jedlund and T. MacDonald","Tampa Bay Dredge Hole Project: Fisheries Assessment, Final Report","2018",NA,"#02-18",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_02_18_Dredge_Hole_Fisheries.pdf"
15,"techreport","tbep0318","D. Karlen and B. Goetting and T. Dix and S. Markham and K. Campbell and J. Jernigan and J. Christian and A. Chacour and K. Martinez and L. Grossmann and and L. LaMonica","Tampa Bay Dredge Hole Project: Benthic Assessment, Final Report","2018",NA,"#03-18",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_03_18_Dredge_Hole_Benthic.pdf"
16,"techreport","tbep0418","M.N. Schrandt and T.C. MacDonald","Tampa Bay Nekton Index, Final Report","2018",NA,"#04-18",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_04_18_Nekton_Index.pdf"
17,"techreport","tbep0518","E. Sherwood and M. Burke","2017 Tampa Bay Estuary Nutrient Management Compliance Assessment","2018",NA,"#05-18",NA,NA,NA,NA,"Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_05_18_FINAL_TBNMC_2017_RA_Annual_Assessment_05092018.pdf"
18,"incollection","tbep0618","E.T. Sherwood and H. Greening and G. Raulerson and L. Sheehan and S. Crooks and R.P. Moyer and K.R. Radabaugh and S. Simpson and S. Emmett-Mattox and D. Tomasko and D. Robison and K. Yates","Chapter 26 - Tampa Bay Estuary Case Study: Identifying Blue Carbon Incentives for Future Critical Coastal Habitat Restoration and Management Efforts","2019",NA,NA,NA,NA,"L. Windham-Myers and S. Crooks and T. Troxler","A Blue Carbon Primer: The State of Coastal Wetland Carbon Science, Practice, and Policy","CRC Press","Boca Raton, Florida",NA,"#06-18","https://www.crcpress.com/A-Blue-Carbon-Primer-The-State-of-Coastal-Wetland-Carbon-Science-Practice/Windham-Myers-Crooks-Troxler/p/book/9781498769099"
19,"article","tbep0718","D. Tomasko and M. Alderson and R. Burnes and J. Hecker and J. Leverone and G. Raulerson and E. Sherwood","Widespread recovery of seagrass coverage in Southwest Florida (USA): Temporal and spatial trends and management actions responsible for success","2018",135,NA,"Marine Pollution Bulletin","1128-1137",NA,NA,NA,NA,"10.1016/j.marpolbul.2018.08.049","#07-18","https://doi.org/10.1016/j.marpolbul.2018.08.049"
20,"techreport","tbep0818","S. Sorace and S. Felde and D. Carroll and J. Necker and D. Hastings and S. Gowans and and Amy Suida","Microplastics in Tampa Bay: Abundance, Distribution, and Ecological Interactions and Technical Memorandum: Laboratory Methods for the Analysis of Microplastics","2019",NA,"#08-18",NA,NA,NA,NA,"Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_08_18_TBERF_Microplastics_Suida.pdf"
21,"techreport","tbep0918","Southwest Florida Water Management District","Little Manatee River Ecosystem Restoration Master Plan","2019",NA,"#09-18",NA,NA,NA,NA,"Final report prepared for the Tampa Bay Environmental Restoration Fund  by the Southwest Florida Water Management District","Brooksville, Florida",NA,NA,"http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_09_18_TBERF_Little_Manatee_River_SWFWMD.pdf"
22,"techreport","tbep0117","E. Sherwood","2016 Tampa Bay Water Quality Assessment","2017",NA,"#01-17",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_01_17_2016_Decision_Matrix_Results_Update.pdf"
23,"techreport","tbep0217","H. Greening and E. Sherwood","2016 Tampa Bay Estuary Nutrient Management Compliance Assessment","2017",NA,"#02-17",NA,NA,NA,NA,"Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program",NA,NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_02_17_FINAL_TBNMC_2016_RA_Annual_Assessment_03242017.pdf"
24,"techreport","tbep0317","K. Kaufman","Tampa Bay Environmental Restoration Fund Final Report: Hard Bottom Mapping and Characterization for Restoration Planning in Tampa Bay","2017",NA,"#03-17",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_03_17_Hard_Bottom.pdf"
25,"techreport","tbep0417","Janicki Environmental, Inc.","Estimates of Total Nitrogen, Total Phosphorus, Total Suspended Solids, and Biological Oxygen Demand Loadings to Tampa Bay, Florida: 2012-2016","2017",NA,"#04-17",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_04_17_FINAL_TBNMC_Loads_2012-2016.pdf"
26,"techreport","tbep0517","R. Moyer and K. Radabaugh","Phase 2: Critical Coastal Habitat Assessment Final Report","2017",NA,"#05-17",NA,NA,NA,NA,"Tampa Bay Estuary Program","St. Petersburg, Florida",NA,NA,"https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_05_17_CCHA_Phase_2_baseline_report.pdf"
